Aeroporto Anaa, Anaa, Polinésia Francesa
Aeroporto Internacional Adelaide, Adelaide, Austrália
Aeroporto Adler/Sochi, Sochi, Rússia
Wana, Federally Administered Tribal Areas, Paquistão
Baguio, Cordillera Administrative Region, Filipinas
Aeroporto Adnan Menderes, Izmir, Turquia
Adolfo Gonzales Chaves, Buenos Aires, Argentina
Adolfo Van Praet, La Pampa, Argentina
Los Adobes, Nuevo León, México
Aeroporto Ampara, Ampara, Sri Lanka
Aeroporto Kodiak, Havilar, Estados Unidos
Adrar, Argélia
Adrogué, Buenos Aires, Argentina
Adra, Andaluzia, Espanha
Atar, Adrar, Mauritânia
Timimoun, Adrar, Argélia
Adrian, Michigan, Estados Unidos
La Aduana, San Luis Potosí, México
Orlando, Flórida, Estados Unidos
Aeroporto Andrews AFB, Camp Springs, Estados Unidos
Aeroporto Leuchars, St. Andrews, Reino Unido
Aeroporto Alldays, Alldays, África do Sul
Aeroporto San Andres Island, San Andrés, Colômbia
Aeroporto Abemama Atoll, Abemama Atoll, Kiribati
Santorini, South Aegean, Grécia
Míconos, South Aegean, Grécia
Chios, North Aegean, Grécia
Karlovasi, North Aegean, Grécia
Kalimnos, South Aegean, Grécia
Kastelorizo, South Aegean, Grécia
Rodes, South Aegean, Grécia
Milos, South Aegean, Grécia
Aeroporto Abecher, Abeche, Chade
Aek Godang, Indonésia
Aeroporto Aioun El Atrouss, Aioun el Atrouss, Mauritânia
Aeroporto Buenos Aires Jorge Newbery, Buenos Aires, Argentina
Aerolito, Santiago del Estero, Argentina
Aeroporto Vigra, Alesund, Noruega
Aeroporto Allakaket, Allakaket, Estados Unidos
Aeroporto Internacional Alexandria, Alexandria, Estados Unidos
Aeroporto Akureyri, Akureyri, Islândia
Aeroporto San Rafael, San Rafael, Argentina
McGuire AFB, Nova Jersey, Estados Unidos
Whiteman afb, Missouri, Estados Unidos
Little Rock AFB, Arcansas, Estados Unidos
Holloman AFB, Novo México, Estados Unidos
Kuran, Afeganistão
Nimroz, Afeganistão
Uruzgan, Afeganistão
Kunduz, Afeganistão
Maimana, Afeganistão
Qala-Nau, Afeganistão
Sheghnan, Afeganistão
Herat, Afeganistão
Saint-Affrique-les-Montagnes, Meio-Dia-Pirinéus, França
Kuran, Afeganistão
Herat, Afeganistão
Nimroz, Afeganistão
Kunduz, Afeganistão
Qala-Nau, Afeganistão
Sheghnan, Afeganistão
Tirinkot, Afeganistão
Urgoon, Afeganistão
Aeroporto Alta Floresta, Alta Floresta, Brasil
Paulo Afonso, Bahia, Brasil
Almino Afonso, Rio Grande do Norte, Brasil
Afonso Claudio, Espírito Santo, Brasil
Afogados da Ingazeira, Pernambuco, Brasil
Afore, Northern, Papua-Nova Guiné
Sun City, North-West, África do Sul
Joanesburgo, Gauteng, África do Sul
Parque Kruger, África do Sul
Porto Elizabeth, África do Sul
Hoedspruit, África do Sul
Cidade do Cabo, the Western Cape, África do Sul
Knysna, the Western Cape, África do Sul
Phalaborwa, Limpopo, África do Sul
Aeroporto AFS, Port Moller, Estados Unidos
Aeroporto Tin City Afs, Tin City, Estados Unidos
Aeroporto Nikolski AFS, Nikolski, Estados Unidos
Aeroporto Tatalina AFS, Tatalina, Estados Unidos
Afton, Wyoming, Estados Unidos
Afutara, Ilhas Salomão
Aeroporto Fort Worth Alliance, Dallas, Estados Unidos
Afyon, Afyonkarahisar, Turquia
Agadir, Region de Souss-Massa-Draa, Marrocos
Agaun, Papua-Nova Guiné
Agatti Island, Índia
Agades, Agadez, Níger
Arlit, Agadez, Níger
Agartala, Tripura, Índia
Aeroporto Augsburg - Muehlhausen, Munique, Alemanha
Aeroporto Allegheny County, Pittsburgh, Estados Unidos
Kristiansand, Vest-Agder Fylke, Noruega
Agen, Aquitânia, França
Aeroporto La Garenne, Agen, França
Aggeneys, África do Sul
Aeroporto Angelholm, Angelholm, Suécia
Agios Theodoros, Larnaca, Chipre
Agistri, Peloponnese, Grécia
Aeroporto Aguni, Aguni, Japão
Aeroporto Kagua, Kagua, Papua-Nova Guiné
Aeroporto Wanigela, Wanigela, Papua-Nova Guiné
Aeroporto Tasiilaq, Anqmaqssalik, Groenlândia
Agnew, Austrália
Cabo do Santo Agostinho, Pernambuco, Brasil
Aeroporto Pablo Ruiz Picasso, Málaga, Espanha
Aeroporto Agrinion, Agrinion, Grécia
Agri, Agri, Turquia
Agra, Uttar Pradesh, Índia
Agrestina, Pernambuco, Brasil
Agrigento, Sicília, Itália
Lago Agrio, Sucumbios, Equador
Agrinion, West Greece, Grécia
Aeroporto Bush Field, Augusta, Estados Unidos
Aeroporto Alejo Garcia, Ciudad del Este, Paraguai
Águas de Lindóia, São Paulo, Brasil
Águas de Santa Barbara, São Paulo, Brasil
Aguas da Prata, São Paulo, Brasil
Aguilas, Region de Murcia, Espanha
Aguni, Okinawa-ken, Japão
 agua Boa, Mato Grosso, Brasil
Aguiar, Paraíba, Brasil
Aguas de Sao Pedro, São Paulo, Brasil
Aeroporto Agnew, Agnew, Austrália
Aeroporto Agatti Island, Agatti Island, Índia
Aeroporto Argyle Downs, Argyle Downs, Austrália
Aeroporto Aggeneys, Aggeneys, África do Sul
Sunyani, Brong-Ahafo, Gana
Ashgabat, Ahal, Turquemenistão
Aeroporto Abha, Khamis Mushayat, Arábia Saudita
Aeroporto Devi Ahilyabai Holkar, Indore, Índia
Aeroporto Amahai, Amahai, Indonésia
Ahlefeld, Schleswig-Holstein, Alemanha
Hurghada, Muhafazat al Bahr al Ahmar, Egito
Ahmedabad, Gujarat, Índia
Ahmedadbad, Gujarat, Índia
Marsa Alam, Muhafazat al Bahr al Ahmar, Egito
Makadi Bay, Muhafazat al Bahr al Ahmar, Egito
Aeroporto Athens, Atenas, Estados Unidos
Aeroporto Fertilia, Algueiro, Itália
Aeroporto Ahuas, Ahuas, Honduras
Villa Ahumada, Chihuahua, México
Ahualulco, San Luis Potosí, México
Ahuacatlan, Nayarit, México
Ahuas, Gracias a Dios, Honduras
El Naranjo, Ahuachapan, El Salvador
Aeroporto Ambatolahy, Ambatolahy, Madagáscar
Aeroporto Alpe D Huez, Alpe dHuez, França
Aeroporto Alliance, Alliance, Estados Unidos
